,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
63,Airport West,Kittyhawk,4,h,773000.0,S,Brad,2016,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0
64,Airport West,Fullarton,3,h,810000.0,PI,Barry,2017,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0
65,Airport West,Marshall,3,h,715000.0,S,Rendina,2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0
67,Airport West,South,3,t,540000.0,SP,Nelson,2016,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0
68,Airport West,North,3,t,825000.0,SP,Barry,2016,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0
69,Airport West,Hilbert,3,h,685000.0,S,Barry,2016,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0
77,Airport West,Roberts,4,h,900000.0,S,Harcourts,2016,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0
78,Albert Park,Kerferd,2,h,1275000.0,S,hockingstuart,2016,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0
80,Albert Park,Beaconsfield,3,h,2850000.0,PI,Buxton,2017,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0
81,Albert Park,Graham,3,h,1850000.0,S,Greg,2017,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0
82,Albert Park,Montague,2,h,1436000.0,S,RT,2017,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0
85,Albert Park,Richardson,4,h,2300000.0,S,Marshall,2016,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0
87,Albert Park,Moubray,3,h,1800000.0,VB,Greg,2016,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0
88,Albert Park,Faussett,2,h,2120000.0,S,Greg,2016,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0
90,Albert Park,Kerferd,3,h,1800000.0,S,Marshall,2016,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0
92,Albert Park,Dundas,3,h,2615000.0,S,Cayzer,2016,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0
95,Albert Park,Gatehouse,3,h,1370000.0,S,Greg,2016,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0
98,Albert Park,Graham,2,h,1322500.0,S,Greg,2016,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0
99,Albert Park,Montague,2,h,1562500.0,S,Greg,2016,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0
100,Albert Park,Mills,3,h,2000000.0,VB,RT,2016,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0
102,Albert Park,Page,3,h,3010000.0,S,Greg,2017,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0
103,Albert Park,Withers,4,h,2800000.0,VB,Cayzer,2016,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0
105,Albert Park,Merton,3,h,2100000.0,SP,Marshall,2016,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0
106,Albert Park,Page,3,h,2000000.0,PI,Marshall,2016,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0
107,Albert Park,Moubray,1,u,442500.0,S,Marshall,2017,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0
108,Albert Park,Page,4,h,4735000.0,S,Marshall,2017,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0
113,Albert Park,Barrett,4,h,2140000.0,S,Greg,2016,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0
115,Albert Park,Brooke,2,h,980000.0,S,Greg,2016,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0
117,Albert Park,Reed,3,h,1740000.0,PI,Marshall,2016,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280.0
119,Albert Park,Durham,1,h,985000.0,S,Marshall,2016,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280.0
120,Alphington,Smith,4,h,2000000.0,S,Brace,2016,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211.0
123,Alphington,Shiers,4,h,1717500.0,S,Collins,2016,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211.0
124,Alphington,Fulham,5,h,2840000.0,S,Nelson,2016,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0
125,Alphington,Harker,2,u,525500.0,S,Miles,2016,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0
126,Alphington,Miller,2,t,805000.0,S,Miles,2016,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211.0
131,Alphington,Bennett,4,h,1830000.0,S,Nelson,2016,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211.0
132,Alphington,Bennett,4,h,2100000.0,S,Nelson,2016,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211.0
133,Alphington,Hamilton,3,h,865000.0,SP,hockingstuart,2016,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211.0
134,Alphington,Yarana,2,u,390000.0,VB,Nelson,2016,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0
136,Alphington,Fulham,2,u,512000.0,S,Love,2017,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211.0
138,Alphington,Margaret,4,h,1900000.0,SP,McGrath,2016,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,-37.7844,145.0225,Northern Metropolitan,2211.0
140,Alphington,Shiers,4,h,1950000.0,S,Jellis,2016,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211.0
141,Altona,Queen,3,h,520000.0,VB,Greg,2016,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301.0
142,Altona,Bracken,5,h,1525000.0,S,Greg,2016,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301.0
143,Altona,Blyth,2,t,720000.0,S,hockingstuart,2016,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301.0
144,Altona,Blyth,3,h,1120000.0,S,Barlow,2017,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301.0
146,Altona,Rose,4,h,1780000.0,SP,Greg,2016,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301.0
147,Altona,Blyth,3,u,630000.0,S,Barlow,2016,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301.0
149,Altona,Maidstone,3,h,660000.0,VB,Greg,2016,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301.0
151,Altona,Queen,2,u,580000.0,S,Barlow,2016,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301.0
152,Altona,Queen,3,h,1335000.0,S,hockingstuart,2016,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301.0
154,Altona,Grieve,2,u,510000.0,S,Village,2016,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301.0
156,Altona,Rose,2,u,425000.0,S,hockingstuart,2016,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,-37.871,144.8185,Western Metropolitan,5301.0
159,Altona,Millers,2,u,391000.0,SP,Greg,2017,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301.0
161,Altona,Wren,4,h,845000.0,S,hockingstuart,2017,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301.0
163,Altona,Blyth,3,u,730000.0,SP,Barlow,2016,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301.0
166,Altona,Sargood,2,u,447000.0,S,Burnham,2016,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,5301.0
168,Altona,Fenfield,3,h,678000.0,S,hockingstuart,2016,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301.0
169,Altona,David,2,u,580000.0,PI,Biggin,2016,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301.0
171,Altona,McIntyre,3,h,840000.0,SP,Greg,2017,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,-37.86,144.8245,Western Metropolitan,5301.0
175,Altona,Mulga,3,u,577000.0,S,Williams,2016,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301.0
179,Altona,Maidstone,2,h,857000.0,SP,hockingstuart,2016,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,5301.0
181,Altona,Blyth,3,u,730000.0,SP,Barlow,2016,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay,-37.868,144.8285,Western Metropolitan,5301.0
185,Altona,David,2,h,535600.0,SP,Compton,2016,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,5301.0
186,Altona North,Hearn,5,h,1085000.0,S,FN,2016,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,5132.0
187,Altona North,Knapp,3,h,781000.0,S,Jas,2016,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132.0
189,Altona North,Marion,2,t,421000.0,S,hockingstuart,2017,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132.0
191,Altona North,Carthy,3,h,683000.0,S,FN,2016,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,5132.0
193,Altona North,Little,3,h,720000.0,VB,Greg,2016,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,5132.0
194,Altona North,Mills,3,h,588000.0,S,Williams,2016,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay,-37.838,144.8555,Western Metropolitan,5132.0
195,Altona North,Binns,3,h,710000.0,PI,Village,2016,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay,-37.8294,144.8378,Western Metropolitan,5132.0
196,Altona North,Allan,4,h,875000.0,SP,Jas,2016,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay,-37.8448,144.8529,Western Metropolitan,5132.0
200,Altona North,May,3,h,675000.0,S,hockingstuart,2016,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132.0
201,Altona North,Beevers,3,h,708000.0,S,Greg,2016,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay,-37.8258,144.8523,Western Metropolitan,5132.0
206,Altona North,Millers,4,h,693000.0,SP,Raine&Horne,2016,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay,-37.8391,144.8467,Western Metropolitan,5132.0
207,Altona North,Chambers,3,h,620000.0,SP,Hunter,2016,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay,-37.8262,144.8443,Western Metropolitan,5132.0
208,Altona North,Gadsden,3,h,728500.0,S,Jas,2016,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay,-37.8277,144.8385,Western Metropolitan,5132.0
209,Altona North,Hansen,3,h,931000.0,S,hockingstuart,2016,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay,-37.8382,144.8649,Western Metropolitan,5132.0
213,Altona North,Hill,3,h,815000.0,S,hockingstuart,2017,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay,-37.8318,144.8388,Western Metropolitan,5132.0
217,Altona North,Cresser,4,h,1200000.0,SP,RT,2016,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay,-37.8375,144.8541,Western Metropolitan,5132.0
220,Altona North,Blackshaws,2,u,292000.0,S,Jas,2016,11.1,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay,-37.8332,144.8649,Western Metropolitan,5132.0
221,Armadale,Mercer,2,u,599000.0,S,Jellis,2016,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836.0
223,Armadale,Denbigh,3,u,995000.0,S,Marshall,2016,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,Stonnington,-37.8552,145.016,Southern Metropolitan,4836.0
224,Armadale,High,3,t,1205000.0,S,Jellis,2016,6.3,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington,-37.854,145.0135,Southern Metropolitan,4836.0
225,Armadale,Llaneast,3,h,1939000.0,S,Jellis,2016,6.3,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington,-37.8614,145.0274,Southern Metropolitan,4836.0
227,Armadale,Cambridge,3,h,1870000.0,S,Hodges,2017,6.3,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington,-37.8592,145.0182,Southern Metropolitan,4836.0
229,Armadale,Mercer,3,t,1918000.0,SP,Jellis,2017,6.3,3143.0,3.0,2.0,2.0,0.0,165.0,1995.0,Stonnington,-37.8537,145.0267,Southern Metropolitan,4836.0
231,Armadale,Willis,3,h,2050000.0,S,Marshall,2017,6.3,3143.0,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington,-37.8574,145.0281,Southern Metropolitan,4836.0
236,Armadale,Mercer,3,u,735000.0,PI,Marshall,2016,6.3,3143.0,3.0,2.0,1.0,2113.0,14.0,1970.0,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836.0
240,Armadale,William,1,h,1435000.0,SP,Jellis,2016,6.3,3143.0,2.0,2.0,1.0,144.0,107.0,1900.0,Stonnington,-37.8564,145.0228,Southern Metropolitan,4836.0
241,Armadale,Dandenong,1,u,280000.0,PI,hockingstuart,2016,6.3,3143.0,1.0,1.0,1.0,0.0,38.0,1975.0,Stonnington,-37.8619,145.0185,Southern Metropolitan,4836.0
244,Armadale,Sutherland,2,u,592500.0,S,hockingstuart,2016,6.3,3143.0,2.0,1.0,1.0,0.0,73.0,1970.0,Stonnington,-37.8574,145.0174,Southern Metropolitan,4836.0
245,Armadale,New,2,h,1210000.0,S,Marshall,2016,6.3,3143.0,2.0,1.0,0.0,249.0,96.0,1910.0,Stonnington,-37.8543,145.016,Southern Metropolitan,4836.0
246,Armadale,Northcote,4,h,2801000.0,S,Marshall,2016,6.3,3143.0,4.0,2.0,2.0,624.0,222.0,1900.0,Stonnington,-37.8536,145.0173,Southern Metropolitan,4836.0
248,Armadale,High,3,h,1800000.0,PI,RT,2016,6.3,3143.0,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington,-37.8545,145.0145,Southern Metropolitan,4836.0
249,Armadale,Llaneast,4,h,2200000.0,PI,Jellis,2016,6.3,3143.0,4.0,1.0,2.0,495.0,163.0,1900.0,Stonnington,-37.8613,145.0264,Southern Metropolitan,4836.0
251,Armadale,Dandenong,6,h,5525000.0,S,Marshall,2016,6.3,3143.0,5.0,3.0,4.0,1491.0,516.0,1935.0,Stonnington,-37.8602,145.013,Southern Metropolitan,4836.0
256,Armadale,Orrong,1,u,440000.0,SP,Jellis,2017,6.3,3143.0,1.0,1.0,1.0,0.0,53.0,1970.0,Stonnington,-37.8531,145.0115,Southern Metropolitan,4836.0
