,Rooms,Type,Price,Method,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname
64,3,h,2100000.0,SP,3.3,1.0,1.0,120.0,123.0,124.0,Southern Metropolitan
65,3,h,2000000.0,PI,3.3,1.0,1.0,238.0,131.0,134.0,Southern Metropolitan
66,1,u,442500.0,S,3.3,1.0,0.0,0.0,34.0,54.0,Southern Metropolitan
67,4,h,4735000.0,S,3.3,2.0,1.0,330.0,207.0,114.0,Southern Metropolitan
68,4,h,2140000.0,S,3.3,2.0,1.0,183.0,145.0,144.0,Southern Metropolitan
69,2,h,980000.0,S,3.3,1.0,0.0,79.0,68.0,134.0,Southern Metropolitan
70,3,h,1740000.0,PI,3.3,2.0,2.0,147.0,134.0,134.0,Southern Metropolitan
71,1,h,985000.0,S,3.3,1.0,0.0,81.0,54.0,124.0,Southern Metropolitan
72,4,h,2000000.0,S,6.4,2.0,4.0,853.0,263.0,94.0,Northern Metropolitan
73,4,h,1717500.0,S,6.4,2.0,1.0,599.0,203.0,99.0,Northern Metropolitan
74,5,h,2840000.0,S,6.4,4.0,4.0,809.0,165.0,114.0,Northern Metropolitan
75,2,u,525500.0,S,6.4,1.0,1.0,88.0,60.0,64.0,Northern Metropolitan
76,2,t,805000.0,S,6.4,2.0,3.0,155.0,140.0,20.0,Northern Metropolitan
77,4,h,1830000.0,S,6.4,2.0,2.0,606.0,112.0,54.0,Northern Metropolitan
78,4,h,2100000.0,S,6.4,2.0,2.0,575.0,271.0,16.0,Northern Metropolitan
79,3,h,865000.0,SP,6.4,1.0,1.0,180.0,131.0,14.0,Northern Metropolitan
80,2,u,390000.0,VB,6.4,1.0,1.0,0.0,60.0,64.0,Northern Metropolitan
81,2,u,512000.0,S,6.4,1.0,1.0,0.0,61.0,59.0,Northern Metropolitan
82,4,h,1900000.0,SP,6.4,2.0,2.0,556.0,272.0,94.0,Northern Metropolitan
83,4,h,1950000.0,S,6.4,2.0,3.0,589.0,210.0,104.0,Northern Metropolitan
84,3,h,520000.0,VB,13.8,2.0,1.0,352.0,242.0,9.0,Western Metropolitan
85,5,h,1525000.0,S,13.8,3.0,3.0,729.0,268.0,19.0,Western Metropolitan
86,2,t,720000.0,S,13.8,1.0,2.0,292.0,125.0,11.0,Western Metropolitan
87,3,h,1120000.0,S,13.8,1.0,2.0,506.0,120.0,94.0,Western Metropolitan
88,4,h,1780000.0,SP,13.8,3.0,6.0,1057.0,220.0,62.0,Western Metropolitan
89,3,u,630000.0,S,13.8,1.0,2.0,311.0,94.0,69.0,Western Metropolitan
90,3,h,660000.0,VB,13.8,1.0,1.0,602.0,123.0,69.0,Western Metropolitan
91,2,u,580000.0,S,13.8,1.0,1.0,225.0,93.0,36.0,Western Metropolitan
92,3,h,1335000.0,S,13.8,1.0,4.0,777.0,22.0,71.0,Western Metropolitan
93,2,u,510000.0,S,13.8,1.0,1.0,127.0,76.0,34.0,Western Metropolitan
94,2,u,425000.0,S,13.8,1.0,2.0,115.0,57.0,44.0,Western Metropolitan
95,2,u,391000.0,SP,13.8,1.0,1.0,0.0,65.0,59.0,Western Metropolitan
96,4,h,845000.0,S,13.8,1.0,2.0,745.0,130.0,74.0,Western Metropolitan
97,3,u,730000.0,SP,13.8,2.0,1.0,69.0,141.0,10.0,Western Metropolitan
98,2,u,447000.0,S,13.8,1.0,1.0,137.0,77.0,34.0,Western Metropolitan
99,3,h,678000.0,S,13.8,1.0,2.0,606.0,87.0,74.0,Western Metropolitan
100,2,u,580000.0,PI,13.8,2.0,1.0,175.0,76.0,11.0,Western Metropolitan
101,3,h,840000.0,SP,13.8,2.0,2.0,534.0,136.0,59.0,Western Metropolitan
102,3,u,577000.0,S,13.8,2.0,1.0,205.0,113.0,17.0,Western Metropolitan
103,2,h,857000.0,SP,13.8,2.0,1.0,675.0,100.0,74.0,Western Metropolitan
104,3,u,730000.0,SP,13.8,2.0,1.0,70.0,3.0,10.0,Western Metropolitan
105,2,h,535600.0,SP,13.8,1.0,1.0,154.0,91.0,28.0,Western Metropolitan
106,5,h,1085000.0,S,11.1,3.0,6.0,592.0,251.0,59.0,Western Metropolitan
107,3,h,781000.0,S,11.1,1.0,2.0,533.0,117.0,54.0,Western Metropolitan
108,2,t,421000.0,S,11.1,1.0,1.0,77.0,77.0,15.0,Western Metropolitan
109,3,h,683000.0,S,11.1,1.0,2.0,534.0,167.0,57.0,Western Metropolitan
110,3,h,720000.0,VB,11.1,2.0,1.0,0.0,130.0,12.0,Western Metropolitan
111,3,h,588000.0,S,11.1,1.0,1.0,328.0,118.0,54.0,Western Metropolitan
112,3,h,710000.0,PI,11.1,1.0,3.0,540.0,116.0,64.0,Western Metropolitan
113,4,h,875000.0,SP,11.1,1.0,4.0,559.0,169.0,59.0,Western Metropolitan
114,3,h,675000.0,S,11.1,2.0,2.0,171.0,109.0,12.0,Western Metropolitan
115,3,h,708000.0,S,11.1,1.0,2.0,585.0,97.0,64.0,Western Metropolitan
116,4,h,693000.0,SP,11.1,2.0,4.0,315.0,170.0,16.0,Western Metropolitan
117,3,h,620000.0,SP,11.1,2.0,2.0,276.0,100.0,14.0,Western Metropolitan
118,3,h,728500.0,S,11.1,1.0,1.0,531.0,157.0,64.0,Western Metropolitan
119,3,h,931000.0,S,11.1,2.0,1.0,590.0,160.0,74.0,Western Metropolitan
120,3,h,815000.0,S,11.1,2.0,3.0,555.0,130.0,64.0,Western Metropolitan
121,4,h,1200000.0,SP,11.1,1.0,4.0,633.0,158.0,64.0,Western Metropolitan
122,2,u,292000.0,S,11.1,1.0,1.0,153.0,70.0,54.0,Western Metropolitan
123,2,u,599000.0,S,6.3,1.0,1.0,0.0,76.0,60.0,Southern Metropolitan
124,3,u,995000.0,S,6.3,2.0,2.0,0.0,100.0,26.0,Southern Metropolitan
125,3,t,1205000.0,S,6.3,2.0,2.0,101.0,105.0,24.0,Southern Metropolitan
126,3,h,1939000.0,S,6.3,2.0,2.0,296.0,150.0,135.0,Southern Metropolitan
127,3,h,1870000.0,S,6.3,1.0,1.0,217.0,116.0,136.0,Southern Metropolitan
128,3,t,1918000.0,SP,6.3,2.0,2.0,0.0,165.0,29.0,Southern Metropolitan
129,3,h,2050000.0,S,6.3,2.0,1.0,205.0,116.0,114.0,Southern Metropolitan
130,3,u,735000.0,PI,6.3,2.0,1.0,2113.0,14.0,54.0,Southern Metropolitan
131,1,h,1435000.0,SP,6.3,2.0,1.0,144.0,107.0,124.0,Southern Metropolitan
132,1,u,280000.0,PI,6.3,1.0,1.0,0.0,38.0,49.0,Southern Metropolitan
133,2,u,592500.0,S,6.3,1.0,1.0,0.0,73.0,54.0,Southern Metropolitan
134,2,h,1210000.0,S,6.3,1.0,0.0,249.0,96.0,114.0,Southern Metropolitan
135,4,h,2801000.0,S,6.3,2.0,2.0,624.0,222.0,124.0,Southern Metropolitan
136,3,h,1800000.0,PI,6.3,2.0,2.0,405.0,121.0,114.0,Southern Metropolitan
137,4,h,2200000.0,PI,6.3,1.0,2.0,495.0,163.0,124.0,Southern Metropolitan
138,6,h,5525000.0,S,6.3,3.0,4.0,1491.0,516.0,89.0,Southern Metropolitan
139,1,u,440000.0,SP,6.3,1.0,1.0,0.0,53.0,54.0,Southern Metropolitan
140,3,h,1300000.0,VB,6.3,1.0,2.0,212.0,106.0,124.0,Southern Metropolitan
141,2,u,704000.0,SP,6.3,1.0,1.0,0.0,74.0,55.0,Southern Metropolitan
142,2,u,620000.0,VB,6.3,1.0,1.0,0.0,98.0,54.0,Southern Metropolitan
143,3,h,1900000.0,S,6.3,1.0,2.0,328.0,108.0,124.0,Southern Metropolitan
144,2,u,710000.0,S,6.3,1.0,1.0,2471.0,80.0,54.0,Southern Metropolitan
145,2,u,598000.0,S,6.3,1.0,1.0,0.0,88.0,54.0,Southern Metropolitan
146,3,h,1285000.0,S,6.3,1.0,2.0,186.0,80.0,104.0,Southern Metropolitan
147,2,u,520000.0,S,6.3,1.0,1.0,0.0,76.0,54.0,Southern Metropolitan
148,4,h,3625000.0,S,6.3,1.0,2.0,709.0,251.0,124.0,Southern Metropolitan
149,4,h,4200000.0,VB,6.3,3.0,3.0,563.0,333.0,24.0,Southern Metropolitan
150,3,t,1101000.0,S,6.3,1.0,2.0,103.0,3.0,24.0,Southern Metropolitan
151,3,h,3512500.0,S,6.3,2.0,2.0,617.0,285.0,26.0,Southern Metropolitan
152,3,u,869000.0,S,6.3,1.0,1.0,0.0,91.0,84.0,Southern Metropolitan
153,1,u,567000.0,S,6.3,1.0,1.0,0.0,53.0,11.0,Southern Metropolitan
154,3,h,940000.0,S,5.9,1.0,2.0,298.0,108.0,104.0,Western Metropolitan
155,2,u,467000.0,SP,5.9,1.0,1.0,0.0,62.0,44.0,Western Metropolitan
156,3,h,1380000.0,SP,5.9,2.0,2.0,277.0,174.0,114.0,Western Metropolitan
157,2,u,490000.0,VB,5.9,1.0,1.0,423.0,62.0,54.0,Western Metropolitan
158,4,h,1850000.0,S,5.9,3.0,1.0,478.0,270.0,124.0,Western Metropolitan
159,3,h,971000.0,SP,5.9,2.0,2.0,285.0,128.0,124.0,Western Metropolitan
160,2,h,710000.0,PI,5.9,1.0,1.0,214.0,77.0,134.0,Western Metropolitan
161,6,h,2425000.0,PI,5.9,3.0,2.0,1014.0,435.0,137.0,Western Metropolitan
162,2,h,750000.0,SP,5.9,1.0,1.0,226.0,92.0,104.0,Western Metropolitan
163,2,h,1053000.0,S,5.9,1.0,1.0,269.0,109.0,124.0,Western Metropolitan
164,3,h,1377000.0,S,5.9,1.0,1.0,417.0,168.0,124.0,Western Metropolitan
165,3,h,970000.0,S,5.9,1.0,2.0,350.0,125.0,120.0,Western Metropolitan
166,2,h,751000.0,PI,5.9,1.0,1.0,118.0,79.0,134.0,Western Metropolitan
167,2,h,950000.0,SP,5.9,1.0,1.0,173.0,102.0,124.0,Western Metropolitan
168,2,u,685000.0,S,5.9,1.0,2.0,228.0,90.0,29.0,Western Metropolitan
169,3,h,1230000.0,S,5.9,1.0,2.0,594.0,148.0,64.0,Western Metropolitan
170,2,h,770000.0,PI,5.9,1.0,1.0,226.0,87.0,124.0,Western Metropolitan
171,4,h,890000.0,SP,5.9,1.0,1.0,300.0,185.0,134.0,Western Metropolitan
172,3,h,1440000.0,S,5.9,1.0,1.0,487.0,131.0,124.0,Western Metropolitan
173,3,h,1000000.0,PI,5.9,2.0,2.0,440.0,120.0,69.0,Western Metropolitan
174,3,h,1435000.0,S,5.9,2.0,2.0,532.0,147.0,74.0,Western Metropolitan
175,1,u,390000.0,S,5.9,1.0,1.0,0.0,58.0,52.0,Western Metropolitan
176,3,h,1425000.0,PI,5.9,2.0,2.0,495.0,139.0,104.0,Western Metropolitan
177,4,h,1340000.0,S,5.9,2.0,2.0,683.0,232.0,46.0,Western Metropolitan
178,3,h,955000.0,S,5.9,1.0,1.0,263.0,117.0,114.0,Western Metropolitan
179,4,h,1100000.0,VB,5.9,2.0,5.0,559.0,195.0,104.0,Western Metropolitan
180,2,u,432000.0,S,5.9,1.0,1.0,0.0,62.0,46.0,Western Metropolitan
181,4,h,1640000.0,S,5.9,3.0,2.0,562.0,204.0,134.0,Western Metropolitan
182,6,h,1430000.0,S,5.9,2.0,1.0,461.0,286.0,124.0,Western Metropolitan
183,2,u,610000.0,SP,5.9,1.0,1.0,301.0,104.0,29.0,Western Metropolitan
184,3,h,940000.0,S,5.9,3.0,1.0,491.0,127.0,74.0,Western Metropolitan
185,3,h,890000.0,SP,5.9,1.0,1.0,242.0,110.0,104.0,Western Metropolitan
186,3,h,1180000.0,SP,5.9,2.0,2.0,617.0,149.0,94.0,Western Metropolitan
187,4,h,1480000.0,S,5.9,2.0,2.0,597.0,180.0,85.0,Western Metropolitan
188,2,t,865000.0,SP,5.9,2.0,1.0,146.0,132.0,9.0,Western Metropolitan
189,2,u,442000.0,S,5.9,1.0,1.0,0.0,62.0,49.0,Western Metropolitan
190,3,h,1037500.0,S,5.9,1.0,2.0,506.0,110.0,104.0,Western Metropolitan
191,3,t,1050000.0,S,5.9,2.0,2.0,318.0,160.0,11.0,Western Metropolitan
192,2,u,440000.0,S,5.9,1.0,1.0,0.0,65.0,54.0,Western Metropolitan
193,4,h,1430000.0,S,5.9,2.0,0.0,418.0,158.0,124.0,Western Metropolitan
194,3,h,1130000.0,S,5.9,2.0,1.0,272.0,157.0,124.0,Western Metropolitan
195,3,h,1135000.0,S,5.9,1.0,1.0,296.0,104.0,114.0,Western Metropolitan
196,4,h,950000.0,PI,5.9,2.0,1.0,298.0,147.0,104.0,Western Metropolitan
197,2,u,390000.0,PI,5.9,1.0,1.0,1957.0,69.0,12.0,Western Metropolitan
198,4,h,1345000.0,S,5.9,1.0,1.0,552.0,155.0,104.0,Western Metropolitan
199,3,h,1381500.0,S,5.9,2.0,2.0,416.0,168.0,124.0,Western Metropolitan
200,3,h,940000.0,S,5.9,2.0,2.0,285.0,172.0,13.0,Western Metropolitan
201,3,h,995000.0,S,5.9,2.0,1.0,314.0,177.0,14.0,Western Metropolitan
202,3,h,786000.0,S,5.9,2.0,1.0,576.0,120.0,84.0,Western Metropolitan
203,2,h,705000.0,PI,5.9,1.0,3.0,252.0,108.0,114.0,Western Metropolitan
204,2,h,760000.0,PI,5.9,1.0,1.0,124.0,77.0,124.0,Western Metropolitan
205,3,t,1000000.0,S,5.9,2.0,2.0,200.0,144.0,21.0,Western Metropolitan
206,3,h,1305000.0,S,5.9,1.0,1.0,278.0,166.0,124.0,Western Metropolitan
207,3,h,1215000.0,S,5.9,1.0,1.0,452.0,175.0,64.0,Western Metropolitan
208,2,u,545000.0,S,5.9,1.0,2.0,194.0,71.0,124.0,Western Metropolitan
209,4,h,1705000.0,S,5.9,2.0,4.0,598.0,273.0,12.0,Western Metropolitan
210,4,h,2650000.0,S,11.0,3.0,2.0,753.0,399.0,9.0,Southern Metropolitan
211,3,h,1670000.0,S,11.0,2.0,2.0,599.0,220.0,94.0,Southern Metropolitan
212,3,t,2050000.0,S,11.0,3.0,4.0,310.0,315.0,10.0,Southern Metropolitan
213,3,h,1555000.0,S,11.0,2.0,2.0,731.0,149.0,89.0,Southern Metropolitan
214,3,h,1100000.0,PI,11.0,3.0,2.0,276.0,178.0,20.0,Southern Metropolitan
215,3,h,1337000.0,S,11.0,1.0,2.0,583.0,112.0,74.0,Southern Metropolitan
216,8,h,2950000.0,S,11.0,7.0,4.0,1472.0,618.0,15.0,Southern Metropolitan
217,3,h,1518000.0,S,11.0,2.0,2.0,516.0,145.0,104.0,Southern Metropolitan
218,3,h,1710000.0,S,11.0,1.0,2.0,806.0,101.0,74.0,Southern Metropolitan
219,3,h,1655000.0,S,11.0,1.0,3.0,780.0,152.0,84.0,Southern Metropolitan
220,4,h,1550000.0,VB,11.0,2.0,2.0,780.0,180.0,86.0,Southern Metropolitan
221,3,h,1662000.0,S,11.0,2.0,2.0,351.0,228.0,18.0,Southern Metropolitan
222,3,h,1665000.0,S,11.0,2.0,3.0,702.0,145.0,79.0,Southern Metropolitan
223,5,h,3510000.0,S,11.0,5.0,2.0,755.0,444.0,9.0,Southern Metropolitan
224,3,t,900000.0,S,11.0,2.0,2.0,153.0,110.0,34.0,Southern Metropolitan
225,5,h,2752000.0,S,11.0,4.0,2.0,1075.0,390.0,14.0,Southern Metropolitan
226,3,h,1500000.0,VB,11.0,2.0,2.0,710.0,139.0,79.0,Southern Metropolitan
227,4,h,1800000.0,S,11.0,2.0,4.0,749.0,206.0,74.0,Southern Metropolitan
228,3,h,1830000.0,S,11.0,2.0,3.0,724.0,168.0,84.0,Southern Metropolitan
229,3,h,1415000.0,S,11.0,1.0,1.0,605.0,111.0,74.0,Southern Metropolitan
230,2,h,1440000.0,PI,11.0,1.0,1.0,687.0,104.0,84.0,Southern Metropolitan
231,4,t,1250000.0,VB,11.0,2.0,2.0,321.0,199.0,17.0,Southern Metropolitan
232,5,h,1600000.0,S,11.0,3.0,4.0,700.0,266.0,74.0,Southern Metropolitan
233,4,h,1860000.0,S,11.0,2.0,3.0,696.0,274.0,24.0,Southern Metropolitan
234,4,h,1790000.0,PI,11.0,2.0,2.0,514.0,240.0,89.0,Southern Metropolitan
235,4,h,1950000.0,S,11.0,2.0,2.0,844.0,278.0,84.0,Southern Metropolitan
236,3,h,1650000.0,S,11.0,1.0,1.0,697.0,164.0,77.0,Southern Metropolitan
237,4,h,1200000.0,SP,12.2,3.0,2.0,372.0,201.0,8.0,Southern Metropolitan
238,2,h,1075000.0,VB,12.2,1.0,2.0,695.0,114.0,74.0,Southern Metropolitan
239,4,h,1500000.0,S,12.2,2.0,2.0,621.0,203.0,24.0,Southern Metropolitan
240,2,t,700000.0,S,12.2,1.0,2.0,367.0,110.0,54.0,Southern Metropolitan
241,3,h,761000.0,PI,12.2,2.0,4.0,400.0,94.0,74.0,Southern Metropolitan
242,3,h,1365000.0,S,12.2,1.0,1.0,792.0,792.0,74.0,Southern Metropolitan
243,4,h,1100000.0,VB,12.2,2.0,2.0,803.0,152.0,54.0,Southern Metropolitan
244,2,u,690000.0,S,12.2,1.0,1.0,216.0,90.0,21.0,Southern Metropolitan
245,3,h,1631000.0,S,12.2,2.0,3.0,782.0,215.0,74.0,Southern Metropolitan
246,4,h,1500000.0,S,12.2,2.0,1.0,593.0,255.0,94.0,Southern Metropolitan
247,5,h,1529500.0,S,12.2,3.0,2.0,585.0,317.0,24.0,Southern Metropolitan
248,2,u,600000.0,S,12.2,1.0,1.0,153.0,80.0,54.0,Southern Metropolitan
249,4,h,1240000.0,S,12.2,2.0,2.0,766.0,192.0,74.0,Southern Metropolitan
250,2,u,700000.0,S,12.2,1.0,2.0,192.0,88.0,17.0,Southern Metropolitan
251,2,h,1110000.0,S,12.2,1.0,1.0,586.0,86.0,74.0,Southern Metropolitan
252,3,h,1305000.0,S,12.2,1.0,1.0,760.0,120.0,64.0,Southern Metropolitan
253,3,h,855000.0,S,12.2,2.0,1.0,320.0,85.0,66.0,Southern Metropolitan
254,3,t,900500.0,S,12.2,2.0,2.0,256.0,134.0,12.0,Southern Metropolitan
255,3,h,1200000.0,VB,12.2,2.0,2.0,839.0,198.0,54.0,Southern Metropolitan
256,3,t,830000.0,S,12.2,1.0,2.0,212.0,130.0,12.0,Southern Metropolitan
257,3,h,850000.0,S,10.5,1.0,1.0,593.0,118.0,54.0,Western Metropolitan
258,3,h,750000.0,SP,10.5,1.0,1.0,0.0,103.0,44.0,Western Metropolitan
259,3,t,851000.0,S,10.5,3.0,1.0,557.0,181.0,7.0,Western Metropolitan
260,4,h,1155000.0,S,10.5,2.0,2.0,569.0,225.0,16.0,Western Metropolitan
261,3,h,680000.0,S,10.5,1.0,2.0,570.0,120.0,54.0,Western Metropolitan
262,3,h,627500.0,SP,10.5,1.0,1.0,550.0,143.0,54.0,Western Metropolitan
263,4,h,950000.0,S,10.5,3.0,3.0,761.0,281.0,54.0,Western Metropolitan
264,3,h,705000.0,S,10.5,1.0,1.0,581.0,106.0,64.0,Western Metropolitan
265,4,h,1100000.0,VB,10.5,3.0,2.0,873.0,395.0,32.0,Western Metropolitan
266,3,h,892500.0,S,10.5,1.0,1.0,586.0,118.0,59.0,Western Metropolitan
267,2,h,522500.0,S,10.5,1.0,1.0,220.0,101.0,29.0,Western Metropolitan
268,4,h,680000.0,PI,10.5,2.0,2.0,554.0,140.0,64.0,Western Metropolitan
269,3,h,875000.0,S,10.5,1.0,3.0,812.0,117.0,64.0,Western Metropolitan
270,4,h,762000.0,S,10.5,2.0,2.0,589.0,150.0,63.0,Western Metropolitan
271,2,u,411000.0,PI,10.5,1.0,1.0,0.0,85.0,29.0,Western Metropolitan
272,3,h,805000.0,S,10.5,2.0,2.0,593.0,103.0,54.0,Western Metropolitan
273,3,h,634000.0,S,10.5,2.0,1.0,582.0,153.0,74.0,Western Metropolitan
274,4,h,1819000.0,S,6.6,2.0,1.0,244.0,180.0,124.0,Southern Metropolitan
275,2,u,410000.0,PI,6.6,1.0,2.0,0.0,61.0,59.0,Southern Metropolitan
276,2,t,1015000.0,S,6.6,1.0,2.0,114.0,120.0,24.0,Southern Metropolitan
277,2,u,502500.0,S,6.6,1.0,1.0,0.0,65.0,64.0,Southern Metropolitan
278,2,u,520000.0,S,6.6,1.0,0.0,0.0,58.0,54.0,Southern Metropolitan
279,2,u,442000.0,SP,6.6,1.0,1.0,0.0,61.0,64.0,Southern Metropolitan
280,3,h,1193000.0,S,6.6,1.0,1.0,178.0,100.0,104.0,Southern Metropolitan
281,2,u,416000.0,S,6.6,1.0,1.0,0.0,49.0,64.0,Southern Metropolitan
282,2,u,474000.0,S,6.6,1.0,1.0,0.0,59.0,54.0,Southern Metropolitan
283,2,h,981000.0,S,6.6,1.0,0.0,159.0,84.0,94.0,Southern Metropolitan
284,3,h,1690000.0,S,6.6,2.0,2.0,339.0,159.0,134.0,Southern Metropolitan
285,2,u,540000.0,VB,6.6,1.0,1.0,483.0,51.0,54.0,Southern Metropolitan
286,2,h,2100000.0,S,9.7,1.0,1.0,659.0,123.0,104.0,Southern Metropolitan
287,4,h,1800000.0,VB,9.7,2.0,2.0,715.0,218.0,39.0,Southern Metropolitan
288,2,t,1255000.0,S,9.7,1.0,1.0,208.0,129.0,24.0,Southern Metropolitan
289,3,u,1070000.0,SA,9.7,2.0,2.0,206.0,112.0,26.0,Southern Metropolitan
290,5,h,2570000.0,PI,9.7,3.0,2.0,715.0,420.0,15.0,Southern Metropolitan
291,4,h,2400000.0,VB,9.7,2.0,2.0,744.0,226.0,39.0,Southern Metropolitan
292,2,u,806000.0,S,9.7,1.0,1.0,122.0,97.0,47.0,Southern Metropolitan
